iter	Passed	Remaining
0	98	118613
1	125	75381
2	139	55731
3	156	46707
4	171	41055
5	183	36494
6	197	33682
7	210	31309
8	220	29199
9	231	27542
10	240	26037
11	252	25006
12	263	24063
13	276	23395
14	289	22906
15	300	22250
16	310	21589
17	324	21280
18	334	20792
19	344	20306
20	358	20113
21	370	19823
22	382	19563
23	392	19230
24	406	19100
25	427	19324
26	470	20443
27	485	20322
28	499	20180
29	518	20206
30	542	20446
31	565	20656
32	584	20685
33	613	21037
34	627	20875
35	641	20729
36	659	20732
37	682	20874
38	702	20915
39	735	21340
40	769	21755
41	796	21952
42	818	22023
43	859	22586
44	876	22507
45	897	22514
46	909	22308
47	924	22182
48	940	22099
49	962	22137
50	980	22087
51	1016	22446
52	1049	22706
53	1086	23049
54	1107	23059
55	1127	23028
56	1165	23372
57	1221	24042
58	1262	24408
59	1360	25853
60	1407	26276
61	1449	26601
62	1479	26707
63	1500	26625
64	1517	26490
65	1532	26324
66	1545	26142
67	1564	26045
68	1604	26307
69	1640	26484
70	1704	27100
71	1736	27206
72	1763	27221
73	1785	27174
74	1799	26996
75	1814	26842
76	1826	26634
77	1838	26441
78	1849	26244
79	1866	26129
80	1882	26011
81	1899	25896
82	1935	26047
83	1946	25857
84	1969	25840
85	1983	25687
86	1994	25519
87	2009	25396
88	2028	25322
89	2041	25176
90	2056	25056
91	2068	24916
92	2080	24766
93	2094	24642
94	2105	24488
95	2120	24390
96	2133	24263
97	2148	24163
98	2161	24039
99	2178	23968
100	2212	24071
101	2256	24288
102	2280	24288
103	2298	24226
104	2321	24213
105	2333	24079
106	2348	23987
107	2360	23863
108	2371	23733
109	2380	23586
110	2391	23462
111	2401	23326
112	2411	23196
113	2425	23105
114	2433	22964
115	2444	22840
116	2454	22716
117	2464	22595
118	2473	22473
119	2482	22341
120	2490	22209
121	2499	22082
122	2508	21966
123	2519	21864
124	2528	21746
125	2537	21625
126	2544	21497
127	2553	21384
128	2563	21287
129	2573	21181
130	2581	21067
131	2592	20972
132	2603	20888
133	2612	20782
134	2619	20666
135	2632	20597
136	2644	20522
137	2653	20416
138	2662	20324
139	2669	20213
140	2678	20119
141	2688	20029
142	2697	19940
143	2708	19859
144	2717	19769
145	2727	19689
146	2737	19610
147	2748	19538
148	2758	19458
149	2768	19380
150	2779	19308
151	2788	19229
152	2799	19159
153	2809	19082
154	2820	19017
155	2833	18960
156	2840	18871
157	2847	18778
158	2855	18698
159	2865	18625
160	2873	18544
161	2882	18471
162	2893	18406
163	2901	18329
164	2909	18248
165	2915	18160
166	2922	18079
167	2931	18007
168	2940	17936
169	2949	17871
170	2959	17807
171	2969	17745
172	2978	17678
173	2987	17615
174	2995	17542
175	3003	17476
176	3013	17418
177	3023	17356
178	3032	17295
179	3042	17238
180	3050	17174
181	3055	17089
182	3068	17054
183	3076	16986
184	3084	16923
185	3096	16880
186	3104	16815
187	3112	16755
188	3120	16693
189	3136	16672
190	3144	16614
191	3152	16552
192	3160	16491
193	3170	16438
194	3174	16361
195	3183	16307
196	3193	16260
197	3202	16208
198	3211	16152
199	3222	16113
200	3232	16065
201	3242	16020
202	3250	15963
203	3264	15937
204	3280	15920
205	3293	15890
206	3306	15863
207	3346	15962
208	3366	15962
209	3376	15917
210	3392	15899
211	3408	15886
212	3425	15872
213	3437	15838
214	3449	15803
215	3460	15766
216	3479	15764
217	3493	15737
218	3504	15696
219	3517	15667
220	3528	15632
221	3539	15594
222	3543	15526
223	3550	15470
224	3557	15415
225	3565	15364
226	3571	15309
227	3578	15257
228	3588	15216
229	3594	15160
230	3602	15111
231	3609	15058
232	3615	15005
233	3623	14960
234	3631	14910
235	3638	14861
236	3643	14805
237	3651	14758
238	3659	14714
239	3669	14677
240	3676	14627
241	3681	14574
242	3689	14529
243	3696	14482
244	3703	14436
245	3710	14388
246	3716	14340
247	3723	14293
248	3730	14248
249	3738	14207
250	3745	14161
251	3752	14117
252	3758	14069
253	3769	14039
254	3775	13992
255	3782	13947
256	3788	13900
257	3795	13857
258	3802	13816
259	3809	13773
260	3816	13730
261	3824	13692
262	3832	13654
263	3838	13608
264	3845	13566
265	3853	13530
266	3861	13492
267	3870	13460
268	3878	13424
269	3885	13384
270	3894	13350
271	3902	13314
272	3910	13278
273	3922	13254
274	3930	13221
275	3939	13187
276	3947	13153
277	3951	13105
278	3958	13066
279	3963	13023
280	3970	12985
281	3978	12950
282	3986	12916
283	3992	12878
284	4000	12844
285	4006	12805
286	4012	12766
287	4019	12727
288	4026	12691
289	4033	12656
290	4040	12619
291	4046	12582
292	4052	12545
293	4060	12512
294	4065	12471
295	4071	12435
296	4074	12388
297	4082	12356
298	4089	12323
299	4097	12292
300	4104	12260
301	4110	12224
302	4116	12187
303	4123	12154
304	4130	12121
305	4137	12088
306	4144	12055
307	4150	12020
308	4157	11987
309	4163	11954
310	4170	11922
311	4178	11892
312	4185	11860
313	4191	11827
314	4198	11796
315	4205	11764
316	4213	11737
317	4220	11705
318	4227	11675
319	4231	11635
320	4237	11603
321	4243	11570
322	4251	11543
323	4259	11515
324	4268	11492
325	4279	11473
326	4289	11451
327	4296	11422
328	4304	11394
329	4310	11362
330	4316	11332
331	4323	11303
332	4330	11274
333	4337	11245
334	4343	11216
335	4349	11185
336	4356	11155
337	4363	11127
338	4371	11102
339	4378	11074
340	4385	11046
341	4394	11025
342	4401	10998
343	4409	10973
344	4416	10945
345	4423	10918
346	4432	10894
347	4438	10867
348	4445	10839
349	4452	10812
350	4460	10788
351	4468	10765
352	4476	10740
353	4484	10716
354	4491	10691
355	4499	10666
356	4506	10640
357	4512	10613
358	4519	10588
359	4525	10560
360	4532	10534
361	4539	10507
362	4546	10483
363	4554	10459
364	4563	10440
365	4569	10413
366	4576	10386
367	4582	10361
368	4589	10336
369	4596	10311
370	4604	10288
371	4611	10264
372	4618	10240
373	4625	10216
374	4632	10191
375	4639	10168
376	4647	10145
377	4655	10123
378	4662	10100
379	4670	10078
380	4678	10056
381	4686	10034
382	4694	10014
383	4702	9992
384	4709	9969
385	4716	9946
386	4724	9925
387	4731	9902
388	4738	9879
389	4744	9854
390	4752	9833
391	4759	9809
392	4766	9788
393	4774	9766
394	4781	9744
395	4787	9719
396	4800	9709
397	4808	9688
398	4816	9668
399	4823	9647
400	4831	9626
401	4838	9605
402	4846	9585
403	4853	9563
404	4860	9540
405	4868	9521
406	4876	9500
407	4883	9479
408	4892	9462
409	4907	9455
410	4920	9445
411	4932	9434
412	4950	9432
413	4956	9409
414	4965	9392
415	4972	9370
416	4979	9350
417	4987	9331
418	4995	9311
419	5003	9291
420	5008	9267
421	5015	9247
422	5024	9229
423	5031	9208
424	5038	9188
425	5047	9170
426	5056	9153
427	5065	9137
428	5075	9122
429	5082	9100
430	5088	9079
431	5096	9060
432	5103	9039
433	5111	9021
434	5118	9001
435	5126	8982
436	5132	8961
437	5141	8944
438	5149	8927
439	5156	8906
440	5164	8888
441	5172	8870
442	5179	8851
443	5188	8833
444	5194	8813
445	5202	8795
446	5213	8782
447	5227	8774
448	5243	8770
449	5256	8761
450	5268	8749
451	5276	8732
452	5284	8714
453	5292	8696
454	5300	8679
455	5309	8662
456	5316	8643
457	5323	8625
458	5331	8607
459	5342	8594
460	5352	8579
461	5359	8561
462	5367	8543
463	5374	8525
464	5381	8506
465	5388	8488
466	5396	8469
467	5402	8450
468	5410	8432
469	5416	8413
470	5423	8394
471	5430	8376
472	5438	8358
473	5445	8340
474	5452	8321
475	5459	8304
476	5466	8286
477	5474	8268
478	5480	8249
479	5487	8231
480	5494	8212
481	5501	8195
482	5508	8177
483	5515	8159
484	5522	8140
485	5528	8122
486	5534	8103
487	5541	8085
488	5549	8069
489	5556	8051
490	5564	8035
491	5570	8016
492	5577	7998
493	5585	7981
494	5591	7963
495	5598	7945
496	5606	7930
497	5613	7913
498	5620	7896
499	5628	7879
500	5634	7861
501	5641	7844
502	5648	7827
503	5656	7811
504	5661	7792
505	5669	7775
506	5677	7760
507	5683	7741
508	5689	7724
509	5697	7708
510	5705	7692
511	5711	7674
512	5719	7658
513	5725	7641
514	5733	7625
515	5740	7608
516	5746	7592
517	5753	7574
518	5760	7559
519	5768	7543
520	5777	7529
521	5785	7514
522	5792	7498
523	5799	7482
524	5806	7465
525	5813	7449
526	5820	7433
527	5827	7417
528	5835	7402
529	5842	7385
530	5849	7370
531	5857	7354
532	5864	7338
533	5872	7323
534	5878	7306
535	5884	7290
536	5893	7276
537	5900	7259
538	5907	7244
539	5915	7229
540	5922	7214
541	5930	7199
542	5937	7183
543	5945	7169
544	5952	7154
545	5959	7138
546	5968	7124
547	5976	7110
548	5984	7096
549	5990	7079
550	5998	7064
551	6005	7049
552	6013	7035
553	6020	7020
554	6026	7003
555	6032	6987
556	6042	6974
557	6048	6959
558	6055	6943
559	6061	6927
560	6069	6913
561	6076	6898
562	6084	6883
563	6091	6868
564	6097	6853
565	6104	6837
566	6109	6821
567	6117	6806
568	6124	6792
569	6131	6777
570	6139	6762
571	6146	6747
572	6153	6732
573	6159	6717
574	6166	6703
575	6173	6687
576	6179	6672
577	6186	6657
578	6193	6642
579	6200	6628
580	6208	6614
581	6216	6601
582	6223	6586
583	6230	6572
584	6238	6558
585	6245	6544
586	6252	6529
587	6261	6516
588	6268	6502
589	6274	6487
590	6282	6473
591	6289	6459
592	6295	6444
593	6302	6430
594	6311	6417
595	6321	6405
596	6328	6392
597	6339	6381
598	6348	6369
599	6356	6356
600	6364	6343
601	6375	6332
602	6383	6320
603	6392	6307
604	6400	6294
605	6407	6280
606	6415	6267
607	6424	6255
608	6431	6241
609	6440	6229
610	6447	6215
611	6455	6201
612	6462	6188
613	6471	6176
614	6479	6163
615	6488	6151
616	6495	6137
617	6502	6123
618	6510	6110
619	6517	6096
620	6524	6083
621	6531	6069
622	6539	6056
623	6545	6041
624	6551	6027
625	6559	6014
626	6567	6001
627	6578	5992
628	6590	5983
629	6603	5974
630	6611	5962
631	6619	5948
632	6626	5935
633	6633	5921
634	6644	5911
635	6655	5901
636	6664	5890
637	6671	5876
638	6679	5863
639	6685	5850
640	6691	5835
641	6697	5821
642	6704	5807
643	6710	5793
644	6716	5779
645	6723	5766
646	6731	5753
647	6736	5738
648	6745	5726
649	6752	5714
650	6761	5701
651	6767	5688
652	6774	5674
653	6781	5661
654	6788	5648
655	6795	5635
656	6802	5622
657	6810	5609
658	6817	5596
659	6825	5584
660	6831	5570
661	6836	5555
662	6843	5542
663	6850	5529
664	6857	5517
665	6865	5504
666	6873	5492
667	6881	5480
668	6889	5468
669	6897	5456
670	6905	5444
671	6917	5435
672	6930	5427
673	6939	5415
674	6949	5405
675	6958	5393
676	6969	5383
677	6983	5376
678	6997	5369
679	7025	5372
680	7033	5360
681	7044	5350
682	7052	5338
683	7060	5326
684	7068	5314
685	7074	5300
686	7082	5288
687	7088	5275
688	7096	5263
689	7103	5250
690	7110	5237
691	7118	5225
692	7126	5213
693	7135	5202
694	7143	5190
695	7154	5181
696	7166	5171
697	7174	5159
698	7182	5147
699	7191	5136
700	7201	5126
701	7209	5114
702	7217	5102
703	7229	5093
704	7239	5083
705	7249	5072
706	7260	5062
707	7268	5051
708	7277	5039
709	7286	5028
710	7292	5015
711	7303	5005
712	7309	4992
713	7317	4980
714	7325	4969
715	7332	4956
716	7340	4944
717	7347	4932
718	7356	4921
719	7366	4910
720	7374	4899
721	7384	4889
722	7394	4878
723	7402	4867
724	7412	4856
725	7425	4847
726	7435	4837
727	7442	4825
728	7448	4812
729	7456	4800
730	7464	4788
731	7471	4777
732	7479	4765
733	7492	4756
734	7499	4744
735	7506	4732
736	7514	4720
737	7521	4708
738	7528	4696
739	7534	4683
740	7541	4671
741	7550	4660
742	7558	4648
743	7566	4637
744	7575	4626
745	7583	4615
746	7592	4604
747	7599	4592
748	7606	4580
749	7612	4567
750	7618	4555
751	7625	4542
752	7632	4531
753	7640	4519
754	7646	4506
755	7652	4494
756	7658	4481
757	7665	4470
758	7673	4458
759	7680	4446
760	7688	4435
761	7695	4423
762	7701	4411
763	7710	4399
764	7718	4389
765	7724	4376
766	7732	4365
767	7741	4354
768	7749	4343
769	7755	4331
770	7765	4320
771	7772	4308
772	7782	4298
773	7789	4287
774	7799	4276
775	7811	4268
776	7824	4259
777	7839	4252
778	7859	4247
779	7869	4237
780	7889	4232
781	7921	4234
782	7936	4226
783	7947	4216
784	7958	4207
785	7968	4197
786	7977	4186
787	7987	4176
788	7996	4165
789	8006	4155
790	8016	4145
791	8026	4134
792	8034	4123
793	8043	4112
794	8050	4101
795	8059	4090
796	8066	4078
797	8075	4067
798	8085	4057
799	8095	4047
800	8102	4036
801	8109	4024
802	8116	4012
803	8122	4000
804	8130	3989
805	8137	3978
806	8146	3967
807	8158	3957
808	8166	3947
809	8175	3936
810	8185	3926
811	8192	3914
812	8198	3902
813	8206	3891
814	8224	3885
815	8244	3879
816	8268	3875
817	8283	3868
818	8292	3857
819	8299	3846
820	8307	3835
821	8316	3824
822	8348	3824
823	8368	3818
824	8388	3812
825	8395	3801
826	8403	3790
827	8411	3779
828	8419	3767
829	8426	3756
830	8434	3745
831	8441	3733
832	8448	3722
833	8455	3710
834	8463	3699
835	8469	3687
836	8476	3676
837	8484	3665
838	8492	3654
839	8501	3643
840	8509	3632
841	8518	3621
842	8525	3610
843	8533	3599
844	8541	3588
845	8548	3577
846	8556	3566
847	8564	3554
848	8571	3543
849	8579	3532
850	8587	3521
851	8594	3510
852	8603	3499
853	8612	3489
854	8620	3478
855	8628	3467
856	8636	3456
857	8643	3445
858	8650	3434
859	8657	3422
860	8663	3411
861	8671	3400
862	8678	3389
863	8686	3378
864	8694	3367
865	8701	3356
866	8708	3344
867	8718	3334
868	8727	3324
869	8735	3313
870	8742	3302
871	8749	3291
872	8755	3279
873	8762	3268
874	8769	3257
875	8777	3246
876	8784	3235
877	8790	3224
878	8797	3212
879	8805	3201
880	8813	3191
881	8820	3180
882	8828	3169
883	8836	3158
884	8842	3147
885	8850	3136
886	8858	3125
887	8866	3115
888	8877	3105
889	8885	3094
890	8893	3084
891	8901	3073
892	8909	3062
893	8918	3052
894	8929	3042
895	8939	3032
896	8945	3021
897	8953	3011
898	8961	3000
899	8969	2989
900	8981	2980
901	8988	2969
902	8995	2958
903	9002	2947
904	9009	2936
905	9017	2926
906	9025	2915
907	9031	2904
908	9038	2893
909	9046	2882
910	9054	2872
911	9062	2861
912	9070	2851
913	9078	2840
914	9085	2829
915	9092	2819
916	9099	2808
917	9107	2797
918	9114	2786
919	9122	2776
920	9129	2765
921	9136	2754
922	9142	2743
923	9149	2733
924	9156	2722
925	9163	2711
926	9169	2700
927	9176	2689
928	9182	2678
929	9190	2668
930	9199	2658
931	9208	2647
932	9216	2637
933	9222	2626
934	9231	2616
935	9239	2605
936	9246	2595
937	9254	2585
938	9269	2576
939	9294	2570
940	9311	2563
941	9360	2563
942	9372	2554
943	9382	2544
944	9392	2534
945	9398	2523
946	9405	2512
947	9412	2501
948	9418	2491
949	9425	2480
950	9433	2469
951	9440	2459
952	9447	2448
953	9454	2437
954	9462	2427
955	9468	2416
956	9476	2406
957	9483	2395
958	9491	2385
959	9498	2374
960	9505	2364
961	9513	2353
962	9520	2343
963	9528	2332
964	9536	2322
965	9544	2312
966	9552	2301
967	9560	2291
968	9568	2280
969	9575	2270
970	9582	2260
971	9589	2249
972	9597	2238
973	9603	2228
974	9611	2217
975	9618	2207
976	9624	2196
977	9631	2186
978	9638	2175
979	9646	2165
980	9651	2154
981	9658	2144
982	9665	2133
983	9673	2123
984	9682	2113
985	9689	2102
986	9696	2092
987	9704	2082
988	9710	2071
989	9718	2061
990	9725	2051
991	9733	2040
992	9740	2030
993	9747	2020
994	9755	2009
995	9762	1999
996	9770	1989
997	9779	1979
998	9785	1968
999	9793	1958
1000	9801	1948
1001	9809	1938
1002	9816	1927
1003	9822	1917
1004	9829	1907
1005	9836	1896
1006	9842	1886
1007	9849	1876
1008	9858	1866
1009	9865	1855
1010	9872	1845
1011	9878	1835
1012	9885	1824
1013	9892	1814
1014	9898	1804
1015	9906	1794
1016	9915	1784
1017	9923	1774
1018	9930	1763
1019	9938	1753
1020	9946	1743
1021	9953	1733
1022	9959	1723
1023	9966	1713
1024	9973	1702
1025	9982	1692
1026	9990	1682
1027	9998	1672
1028	10004	1662
1029	10010	1652
1030	10018	1642
1031	10026	1632
1032	10034	1622
1033	10041	1612
1034	10049	1602
1035	10056	1591
1036	10064	1581
1037	10071	1571
1038	10078	1561
1039	10085	1551
1040	10092	1541
1041	10099	1531
1042	10106	1521
1043	10113	1511
1044	10122	1501
1045	10130	1491
1046	10141	1481
1047	10152	1472
1048	10164	1463
1049	10177	1453
1050	10185	1444
1051	10195	1434
1052	10207	1424
1053	10219	1415
1054	10231	1406
1055	10239	1396
1056	10247	1386
1057	10258	1376
1058	10267	1367
1059	10276	1357
1060	10283	1347
1061	10290	1337
1062	10297	1327
1063	10305	1317
1064	10312	1307
1065	10321	1297
1066	10329	1287
1067	10346	1278
1068	10355	1268
1069	10363	1259
1070	10370	1249
1071	10378	1239
1072	10385	1229
1073	10393	1219
1074	10400	1209
1075	10406	1199
1076	10413	1189
